온도,반응시간,Scale,이론 고형분(%),monomer_BA,monomer_2-EHA,monomer_CHMA,monomer_AA,monomer_MMA,monomer_IBOMA,monomer_2-HEMA,monomer_HDDA,monomer_GMA,monomer_LMA,monomer_EMA,monomer_BMA,monomer_EA,monomer_IBOA,monomer_MA,monomer_2-HEA,monomer_b-CEA,monomer_4-HBA,monomer_IBXA,monomer_NOAA,monomer_MEDOL-10,monomer_AOMA,monomer_DPPA,monomer_POEA,monomer_MAA,monomer_AN,monomer_St,monomer_LA,monomer_2-PEA,monomer_DCPA,monomer_EDMA,monomer_HPA,chem_avg_tg,chem_avg_mw,chem_avg_polarity,수율(%),점도(cP),Tg,입도(nm)
83.0,,315.91,0.48,94.2,0.0,0.0,1.3,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.38500000000005,126.17831999999999,0.16650000000000004,0.73,100.0,,
83.0,,316.17,0.48,89.7,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.94,126.17786999999998,0.16425,0.7,50.0,,
83.0,,316.05,0.48,89.7,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.89,128.70327,0.15705000000000002,0.66,100.0,,
83.0,,316.17,0.48,89.7,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.93,124.91606999999999,0.16875,0.65,50.0,,
83.0,,329.97,0.46,78.7,0.0,20.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.82999999999998,135.45256999999998,0.14975,0.42,50.0,-36.75,
83.0,,330.08,0.46,78.45,0.0,20.0,1.3,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.02749999999995,135.38214499999998,0.14987499999999998,0.65,50.0,-36.75,
83.0,,330.08,0.46,78.2,0.0,20.0,1.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.22499999999997,135.31171999999998,0.15000000000000002,0.6,50.0,-36.75,
83.0,,329.12,0.47,67.5,0.0,0.0,2.0,30.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.44500000000005,118.49194999999999,0.21025,0.55,50.0,-12.98,
83.0,,330.83,0.47,67.5,0.0,0.0,2.0,30.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.44500000000005,118.49194999999999,0.21025,0.78,400.0,-12.98,
83.0,,329.05,0.47,72.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.55,135.19769999999997,0.18,0.68,200.0,-29.7,
